name,Town/City
AEA Consulting Worldwide Ltd,London
AEA Investors (UK) LLP,London
Aedas Interiors London Limited,London
Aedas RHWL Limited,London
AEG Presents Ltd,London
Aegis Vision Limited,London
AEGON UK PLC,London
AEI Group LTD,London
AEO Trading Ltd,London
AEP (Trading) Limited,London
Aequitas Consulting Limited,London
AERIUM FINANCE LIMITED,LONDON
Aermont Capital LLP,London
Aesop UK Limited,London
Aesthetics Media Ltd,London
AET UK Ltd,London
Aethersys Ltd,London
AETN International (UK) Limited,London
AEW Europe LLP,London
AEW UK Investment Management LLP,London
Affiliated Managers Group Limited,London
Affinitext (UK) Ltd,London
Affinity (Shipping) LLP,London
Affinity Homes Construction Ltd,London
Affirmative Investment Management Partners Limited,London
Afghan Association Paiwand,London
Afiniti Europe Technologies Limited,London
Africa Capitalworks LLP,London
Africa Centre,London
Africa Matters Limited,London
Africa Sports Content Syndicate Ltd,London
Afrimax (UK) Ltd,London
Afro-Asian Insurance Services Limited,London
AFROZE UK LIMITED,London
AFS London Ltd,London
AG CAPITAL INVESTMENTS LTD,London
Aga Khan Foundation (United Kingdom),London
AGC EQUITY PARTNERS LTD,LONDON
AGC Partners Limited,London
AgDevCo Ltd,London
Agence France- Presse,London
Agency Inc Ltd,London
Agency Press Ltd t/a Sold Out Advertising,London
Agent Provocateur Ltd,London
Agents For Accounting Ltd,London
Agents' Mutual Ltd,London
Ag-Grid UK Limited,London
AGI World Ltd T/as Spark,London
AGILE FILMS LIMITED,LONDON
AgileAssets Limited,London
Agilisys Holdings Ltd,London
AGILITY PR SOLUTIONS LIMITED,LONDON
AGK PARTNERSHIP LIMITED,LONDON
AGODA INTERNATIONAL PTE LTD,London
Agora Financial UK Limited,London
Agricultural Bank of China (UK) Limited,London
Agrim Business Solution Limited,London
Agudas Israel Housing Association Ltd,London
Ahaa Dosa Ltd,London
Ahli United Bank,London
Ahli United Bank,London
AHV Associates LLP,London
AI BUILD LIMITED,LONDON
AI Exchange Ltd,London
AI Film Management Limited,London
Aidhan Accountancy (Aidhan Financial Services Ltd),London
AIESEC UK Ltd,London
AIG Asset Management (Europe) Limited,London
AIG Edenspiekermann Ltd,London
AIG Europe Limited,London
Aimia Services UK Limited,London
Aimimage Limited,London
Ainsworths (London) Limited,London
Aioi Nissay Dowa Insurance Company of Europe Limited,London
AIP London Limited,London
Aiphone UK Limited,London
Air Algerie,London
Air Astana Joint Stock Company,London
Air China Limited,London
Air International Thermal (United Kingdom) Limited,London
Air London Booking Ltd,London
AIR Studios (Lyndhurst) Ltd,London
AIR Worldwide Ltd,London
AIRACOM LIMITED,LONDON
Airbiquity Europe Ltd,London
Airbnb UK Limited,London
Airbus Group Limited,London
Aire Labs Ltd,London
AirSense Wireless Ltd,London
AIS Consulting UK Ltd,London
AISH HATORAH UK LIMITED,LONDON
Aismare Limited,London
Aistemos Limited,London
AJE INFRASTRUCTURE SERVICES LIMITED,LONDON
Ajinomoto Foods Europe S.A.S. London Branch,London
AJM MANSELL LTD,LONDON
AK GRG LIMITED,LONDON
AKA Promotions Limited,London
Akademi South Asian Dance UK,London
Akelius Residential Limited,London
AKER ENGINEERING AND TECHNOLOGY LIMITED,LONDON
Akin Gump Strauss Hauer & Feld,London
Akira Partners LLP,London
Akkroo Limited,London
AKO Capital,London
AKQA Ltd,London
Akram Khan Dance Company,London
Aksia Europe Ltd,London
AKSOY FACADES UK LTD,London
AKT II Ltd,London
Aktis Intel Group Limited,London
Aktis Strategy Limited,London
Al Duwaliya Asset Management Limited,London
Al Jazeera International Limited,London
Al Muntada Al Islami Trust,London
"AL SADIQ AL ZAHRA SCHOOLS, part of Al-Khoei Foundation",London
"Alacra, Inc.",London
Alain Charles Publishing Limited,London
Alan Bearman Music,London
Alan Cristea Gallery,London
Alandale Logistics Ltd,London
Alandar Park Limited,London
Alara Trading Limited,London
Alaraby Television Network Limited,London
ALB ACCOUNTING LTD,London
AlbaCore Capital LLP,London
Albany Investment Limited,London
Albar Capital Limited,London
Albatross Global Solutions Ltd.,London
Alberta Investment Management Corporation,London
Albion Brand Communication Ltd,London
Albion Cosmetics (UK Branch),London
Albion Fire & Security Ltd,London
Albourne Partners Limited,London
Alcohol Monitoring Systems Limited,London
AlcombeVeterinary Practice Ltd,London
Aldbourne Investment Management Limited,London
Alderbrooke Limited,London
ALDO UK LIMITED,London
Aldridge Education,London
Aldwych International Limited,London
ALEX MONROE LIMITED,LONDON
Alexa Capital LLP,London
Alexander Mann Solutions Limited,London
Alfa Capital Markets,London
Alfa Energy Ltd,London
Alfanar,London
ALFAPEOPLE CRM LTD,LONDON
Algebris (UK) Limited,London
ALGERIAN EMBASSY,LONDON
ALGHAD TV LIMITED,LONDON
Algomi Limited,London
Alias Partners Limited,London
Alibaba.com (Europe) Limited,London
Alibra Shipping Limited,London
Alico (UK) Ltd,London
Align Communications Ltd,London
Align Technology UK Limited,London
Alinda Capital Partners LLP,London
Alipay (UK) Limited,London
Alison Brooks Architects Limited,London
Alison Hayes (UK) Limited,London
AlixPartners UK LLP,London
Al-Khoei Foundation,London
All 3 Media Limited,London
All Market Europe Ltd,London
All Nippon Airways Co Ltd,London
All Response Media Limited,London
All Saints Peckham,LONDON
All Saints Retail Limited,London
All Seasons Lettings and Management Ltd,London
All Seasons Lettings Ltd.,London
All Souls Church,London
All Star Leisure Ltd,London
All Tax Accounting Ltd,London
ALL THINGS CONSIDERED LIMITED,London
All2gether Limited,London
Allegro Development Europe Ltd,London
Allen & Overy  Service Company Limited,London
AllenbridgeEpic Investment Advisers Limited,London
Allford Hall Monaghan Morris,London
Alliance Advertising & Marketing Ltd,London
Alliance UK Ltd,London
AllianceBernstein Limited,London
AllianceBernstein Services Limited,London
Allianz Global Corporate & Specialty SE,London
ALLIANZ GLOBAL INVESTORS GMBH UK BRANCH,LONDON
ALLIED BROADCASTING NETWORK LIMITED,LONDON
Allied Computers International Limited,London
Allied Crowds Ltd.,London
Allied Testing (UK) Limited,London
Allied World Assurance Company (Europe) Limited,London
Allies and Morrison LLP,London
Allison + Partners UK Limited,London
Allmed Medical Care Holdings Ltd,London
Allneeds Group Limited,London
Allnex Resins UK Limited,London
Alloa Consultancy Limited,London
AllofUs Limited,London
Allpress Espresso UK Ltd,London
Allsop LLP,London
Allston Trading UK Limited,LONDON
Alltime Technologies Limited,London
ALM SERVICES UK LIMITED,LONDON
Alma Economics Ltd.,London
Alma PR Limited,London
Almacantar Ltd,London
Almeida Theatre Company Ltd,London
A-Logics Ltd,London
ALPA Consultants Limited,London
Alpha Academic Ltd,London
Alpha Building Services and Engineering Ltd,London
Alpha Capital Education Limited,London
Alpha Cleaning & Maintenance Limited,London
Alpha FX Limited,London
Alpha International,London
Alpha Offshore International Leasing Limited,London
Alpha Plus Group Ltd,London
Alpha Real Capital LLP,London
Alpha Transfers Limited,London
Alpha Universal Management Plc,London
Alphadyne Asset Management (UK) LLP,London
Alphanumeric Accountants Limited,London
AlphaSights Ltd.,London
ALPINA ROSA LIMITED,LONDON
Alpine Answers,LONDON
Alpine Interactive UK Limited,London
Alquity Investment Management Limited,London
Alridha Foundation,London
Alston Gayler & Co Ltd,London
Alta Advisers Limited,London
Alta Semper Capital LLP,London
Altair Global Relocation Limited,London
Altaone Services Limited,London
Altavair Limited,London
ALTEN LIMITED,LONDON
Alterest Limited,London
Alternative Genius Ltd,London
Alternative Payments Ltd,London
Alternativesoft Ltd,London
Alternergy Limited,London
Alteryx UK Limited,London
Althea Capital LLP,London
Altice Capital Enterprise Services Limited,London
Altis Global Limited,London
Altitec Ltd.,London
Altitude London,London
ALTITUDE REAL ESTATE LIMITED,London
ALTON & CO.,LONDON
Altum Capital Management (UK) Ltd,London
Altum Partners Consulting Limited,London
Alulbayt Foundation,London
Alumno Developments Limited,London
Alva Reputation Analysis Ltd,London
"Alvarez & Marsal Europe, LLP",London
Alvento Capital Partners (UK) Ltd,London
AM Best Europe - Rating Services Ltd,London
Amagis Capital Limited,LONDON
Amakor Capital Management LLP,London
Amala Partners LLP,London
Amalgamated Metal Corporation Plc,London
Amana Financial Services UK Ltd,London
Amanda Levete Architects Limited,London
AMARIS Consulting UK,London
Amaya Trust,London
Amazon UK Services Ltd,London
Amber Capital UK Holdings Ltd,London
Amberlight Partners Ltd,London
Ambit Capital (UK) Limited,London
Ambition Europe Ltd,London
Ambition School Leadership,London
Ambitious about Autism,London
Ambrian Metals Limited,London
Ambridge Europe Limited,London
Ambris LLP,London
AMCK Management Ltd. (Trading as AMCK Models & AMCK Dance),London
AMCL Europe Limited,London
AMEC Foster Wheeler Earth and Environmental (UK) Limited,London
AMEDEO SERVICES (UK) LIMITED,LONDON
Amelco UK LTD,London
Ameresco Limited,London
American Century Investment Management (UK) Limited,London
American Cosmetic Surgery LTD,London
American Eagle Outfitters UK Limited,London
American Embassy,London
American Express Services Europe Limited,London
American Institute for Foreign Study (UK) Ltd,London
American International Relocation Solutions UK Limited,London
American Lawyer Media International Limited,London
American Tax Returns Ltd,London
America's Growth Capital Europe LLP,London
Amia Capital Advisors Limited,London
Amicorp (UK) Limited,London
Amicus Finance Plc,London
Amida Limited,London
Amida Transportation Infrastructure Ltd.,London
Amido ltd,London
Amigo Digital Ltd,London
Aminex Petroleum Services Limited,London
Amira G Foods Ltd,London
"Amnesty International, International Secretariat",London
Amobee EMEA Limited,London
AMOSCA Ltd,London
AMP Capital Investors (UK) Limited,London
Ampere Analysis,London
Ampersand & Ampersand Limited,London
Amphio Limited,London
Amplifi Capital (U.K.) Limited,London
AMR International Limited,London
Amsphere Limited,London
AMSTERDAM & PARTNERS LLP,LONDON
AMT MORTGAGE SERVICES LIMITED,London
Amtex Solutions Limited,London
AmTrust Management Services Ltd.,London
Amundi Asset Management,London
Amuse Bouche Champagne Bars Limited,London
AMV BBDO Ltd,London
Amy Syed t/as The White Keys,LONDON
Amyn Hotels Ltd,London
An Easy Visa Limited,London
Anacap Financial Partners LLP,London
Anadarko Algeria Company LLC,London
AnalogFolk,London
Analysis Group Ltd,London
Analysys Mason Limited,London
Ananas Anam UK Limited,London
Ananda Marga,London
Ancala Partners LLP,London
Ancestry.com UK Limited,London
Anchorage Capital Europe LLP,London
Anchura Group Limited,London
Andaz Hotel,London
Anders Electronics plc,London
Anderson & Sheppard Limited,London
Anderson Ross Accounting and Tax Limited,London
ANDigital Limited,London
Andraos Associates Limited,London
Andrew Burke,London
Andrew J. Dechet,London
Andrias London Hotels Limited,London
Andurand Capital Management LLP,London
Anel Engineering & Contracting Limited,London
Anemka Resources Limited,London
Anemoi Marine Technologies,London
Angara Management Limited,London
Angel Eye Centre Limited,London
Angel Human Resources Ltd,London
Angel Social Media Ltd,London
Angelica Fashion Ltd,London
Angelina Studio Limited,London
"Angelo, Gordon Europe LLP",London
Anglican Consultative Council,London
Angliya Limited,London
Anglo American Services (UK) Limited,London
Anglo Caribbean Insurance Agents Limited,London
Anglo Chinese School of London Limited,London
Anglo Japanese Management Services Limited,London
Anglo Medical Ltd,London
Anglo Pacific International Ltd,London
Anglo Technical Recruitment Ltd,London
Anglo-Caribbean Shipping Co Ltd,London
Angloslav International Ltd,London
Angry Dog Ltd,London
Angst Productions Ltd,London
Angus Montgomery Ltd,London
Angus Pond Architects Ltd,London
Anico Financial Services Limited,London
Animade (Trading as),London
Anita Rosato Interior Design,London
Anjuman Raja -E -Mustafa,London
Annapurna HR Limited,London
Annection Limited,London
Anomaly UK Limited,London
Anona Security UK Ltd,London
ANORAK TECHNOLOGIES LIMITED,London
Ansarada UK Limited,London
Anschutz Sports Holdings Ltd.,London
Anstey Bond LLP T/A bennettbrooks ansteybond,London
Ant Yapi (UK) Limited,London
Antal International Ltd,London
Antarctica Asset Management (Europe) Limited,London
Antares Underwriting Services Ltd,London
Anthemis (UK) Limited,London
Anthonisz Neville LLP,London
ANTHONY SEDDON SOLICITORS LLP,LONDON
Antidote Technologies Ltd.,London
Antigua and Barbuda High Commission,London
Antin Infrastructure Partners UK Limited,London
Antique Wine Company (Franchising) Limited,London
Antler Limited,London
Antofagasta plc,London
ANTUIT UK LIMITED,LONDON
AnyVan Ltd,London
ANYVISA LTD,LONDON
ANZUK EDUCATION LTD,LONDON
Aon UK  Limited,London
Aozora Europe Limited,London
Apac Uk Procurement,London
Apache Capital Partners,London
Apax Partners UK Ltd,London
APCER Pharma Europe Limited,London
APCO Worldwide,London
APECS Consult Ltd,London
Apeiron Capital Limited,London
Apeiron Securities & Investments LLP,London
APEX FUND SERVICES (UK) LTD,LONDON
Apex Housing Solutions Ltd,London
Apex Insight Ltd,London
APG Ltd. (Account Planning Group),London
Apical Limited,London
Apira Limited,London
Apolitical Group Limited,London
Apollo Management International LLP,London
Apollo Tyres (UK) PVT Ltd,London
Apos Medical UK Limited,London
Apostolic Faith Mission UK,London
App Annie Europe Limited,London
Appcoach Limited,London
Appear Here Limited,London
APPI Clinics Ltd,London
APPIAN CAPITAL ADVISORY LLP,LONDON
Appian Europe Limited,London
Appirio Limited,London
Applause App Quality UK Ltd.,London
Apple (UK) Limited,London
Apple Corps Limited,London
Apple Europe Limited,London
Apple Retail UK Ltd,London
Apples & Snakes Ltd,London
APPLIED FINANCIAL TECHNOLOGY LTD,LONDON
Applied Predictive Technologies UK Limited,London
Appmetric Software Limited,London
AppNexus Europe Limited,London
Appnova Limited,London
Appraise Digital Limited,London
Appscatter Limited,London
Appsrs Limited,London
Appssential Limited,London
Apptio Europe Limited,London
Appxcell Limited,London
Aprimo Marketing Operations UK Ltd,London
Apsara Capital LLP,London
APTTUS EMEA LTD,London
Aptus Solutions Limited,London
AQ / AQ Limited,LONDON
aQovia UK Limited,London
AQR Capital Management (Europe) LLP,London
Aqua Kyoto limited,London
Aqua Technologies (Europe) Ltd,London
Aquarius Population Health Limited,London
Aquent LLC,London
Aquila Services Group plc,London
Aquind Limited,London
ARA Design (International) Limited,London
Arab National Bank,London
Arabia Monitor Limited,London
Arachnys Information Services Limited,London
Araki London Limited,London
Aramco Overseas Company UK Ltd,LONDON
Arbis Sutherland LLP,London
Arbor Education Partners Ltd,London
Arbor Research & Trading (UK) Ltd,London
Arbuthnot Banking Group,London
"ARC DDLONUK, LIMITED",LONDON
Arcacia Consulting Ltd,London
Arcadia Group Ltd,London
Arcadia Retail,London
ArcelorMittal Limited,LONDON
Arch 468 Theatre Studio Ltd,London
Arch Consulting Ltd,London
Arch Insurance Company (Europe) Ltd,London
Archer Humphryes,London
Archer's Mark International Ltd,London
Architectural Association School of Architecture,London
Architecture Assembly Ltd.,London
Architekton LTD,London
Archr LLP,London
Arcus Infrastructure Services LLP,London
Ardhnareshwar Lok Kalyan,London
Ardian Investment UK Limited,LONDON
Ardmore Construction Ltd,London
Area Camden Children's Home,London
Areen Design Services Limited,London
Arena Event Services Group Ltd t/a WDT London,London
Arepo Solutions Limited,London
Ares Management Limited,London
Argent Design Limited,London
Argentem Creek UK LLP,London
ARGENTHAL & CO LIMITED,London
Argo Management Services Limited,London
Argon Operations Consulting Limited,London
Argus Media Limited,London
Argus Software (UK) Ltd,London
Argyll Building Services Limited,London
Argyll Productions Ltd,London
Ariel Re UK Limited,London
Ariel Re UK Limited,London
ARIELLA FASHIONS LTD,london
Arimon Ltd T/A Arimon Consulting,London
Arise and Shine Childrens Home Kenya,London
ARISTA NETWORKS UK LTD,London
ARK Global Technology,London
Ark Workplace Risk Ltd,London
Arkadin (UK) Ltd,London
Arkk Consulting Ltd,London
ARKR Limited T/A Redhead Orthodontics,London
ARK,London
Arlington Corporate and Trust Services Ltd,London
Arlington Group Asset Management Limited,London
Arma Partners LLP,London
Armen Sarkissian,London
ARMENIAN CHURCH TRUST (UK) LIMITED,London
ARMONDI UK LIMITED,LONDON
Armorial Heritage Print Limited,London
Armour Risk Management Limited,London
Armstrong & Co,London
Arney Fender Katsalidis Limited,London
Arnold & Porter Kaye Scholer (UK) LLP,London
Arnold House School,London
ARO INTERNET BUSINESS DEVELOPMENT  LTD,LONDON
Arqaam Capital UK Investment Management Limited,London
Arran Healthcare Limited,London
Arria NLG plc,London
Arrow Dental Practice,London
Arrow International Media Limited,London
ARROW SHIPPING (UK) LTD,LONDON
Arrowgrass Capital Services UK Limited,London
Arrows Group Global Ltd,London
Arrows Group Professional Limited,London
Arrowstreet Capital Europe Limited,London
Arsenal Football Club,London
Arsenal Ladies Limited,London
Art And Industry Ltd,London
Art Partner Productions Limited,London
ARTEFACT PARTNERS HOLDING LTD T/A ARTEFACT PARTNERS LLP,LONDON
Artelia Projects UK Limited,London
Artemis Investment Management LLP,London
Arthur J Gallagher UK Limited,London
Arthur J. Gallagher Services (UK) Limited,London
Arthur Murray Dance Studios LTD.,London
Article 10 Integrated Marketing Ltd,London
ARTICLE 19,London
Artisan Partners UK LLP,London
Artist Promotion Management Ltd,London
Artistic Licence Engineering Ltd,London
Artlogic Media Limited,London
Arts Alliance Media Limited,London
Arts Educational School London,London
Artsadmin,London
ARTSBRIDGE LIMITED,LONDON
ARYA SAMAJ LONDON,LONDON
"ASAHI BREWERIES LIMITED, EUROPE BRANCH",LONDON
Asahi Shimbun Company (European General Bureau),London
ASAI CONSTRUCTION LTD,LONDON
Asante Capital Group LLP,London
Ascend Laboratories ( UK) limited,London
Ascent Underwriting LLP,London
Ascential Group Limited,London
ASCOT LTD T/A MORGAN RANDALL,LONDON
Ascot Rehabilitation Limited,london
Ascot Underwriting Limited,London
Ascott Hospitality Management UK Ltd,London
ASEAN LIMITED,LONDON
ASFC LLP (Atlantic Swiss),London
Asgard Promotions Ltd,London
Ash Gaming Ltd,London
Ashbourne College,London
Ashby Capital LLP,London
Ashcombe Advisers LLP,London
ASHINAGA ASSOCIATION IN THE UK,London
Ashley Gregory,London
Ashmore Group Plc,London
Ashoka UK,London
ASHS Ltd trading as Anya Hindmarch,London
Ashtead Group plc,London
Ashton Rose Ltd,London
Ashurst LLP,London
Asian Absolute Limited,London
Asian Muslim Cultural Centre,London
Asian Social and Humanitarian Association,London
Asiana Airlines Inc.,London
Asianet (Europe) Ltd,London
Asif Khan Ltd,London
Asite Solutions Ltd,London
ASK OUTLETS LTD,London
ASKONAS HOLT,LONDON
ASME ENGINEERING LTD,London
Asmita & Associates Ltd,London
ASO FAL UK Limited,London
Asoko Insight,London
ASOS.com,London
Aspar Pharmaceuticals Ltd,London
Aspect Capital Limited,London
Aspect Enterprise Solutions Limited,London
Aspect Enterprise Solutions Limited,London
Aspen Insurance UK Limited,London
Aspermont Media Ltd,London
ASPERS MANAGEMENT SERVICES LIMITED,LONDON
Aspinall Capital Advisers LLP,London
Aspinalls Club Limited,London
Aspirant Limited,London
ASPone Ltd,London
Asprey Holdings Limited,London
A-squared Studio Engineers Ltd,London
Assay Corporate Finance Limited,London
Asselle Products Limited,London
ASSEMBLY MEDIA LIMITED,London
ASSET CONTROL TECHNOLOGY LIMITED,London
Asset Management One International Ltd,London
ASSETVAULT LIMITED,London
Assicurazioni Generali S.p.A. UK Branch,London
Assisted Reproduction & Gynaecology Centre,London
Associated British Foods Plc,London
Associated Foreign Exchange Ltd,London
Associates in Advertising Limited,London
Association for Decentralised Energy,London
Association for Financial Markets in Europe,London
Association of British Insurers,London
Association of Commonwealth Universities,London
Association of Commonwealth Universities,London
Association of International Certified Professional Accountants (UK),London
Association of Surgeons of Great Britain and Ireland,London
Assouline UK Limited,London
Assured Guaranty (UK) Services Limited,London
Astadia Consulting UK Limited,London
Astanga Yoga London,London
Astbury Marsden and Partners Limited,London
Astellon Investment Services Limited,London
Aster Textile London Limited,London
Astley Clarke Limited,London
ASTOMOS ENERGY CORPORATION,LONDON
Astons Reed Ltd,London
Astound Commerce Limited (UK),London
Astrum Education Limited,London
ASTUDIO Ltd,London
Astute Accountants Limited,London
